"resp.id","accessibilitymobile","accessibilityweb","authenticationmulti_factor","authenticationsimple","authenticationtwo_factor","customisationhigh","customisationlow","customisationmedium","videomulti_person","videoone_to_one","noneTRUE","noneFALSE","adopters"
120,-1.94080267910637,1.94080267910637,1.66799132584339,-2.36318845605094,0.695197130207547,1.75937582106826,-1.43167974140246,-0.327696079665801,1.36263334157282,-1.36263334157282,-5.61756453734418,5.61756453734418,40.7322710017939
121,-0.8984075531773,0.8984075531773,0.995065292014552,-1.49662132792342,0.501556035908866,1.8399154240362,-1.7439614767942,-0.0959539472420013,1.85343505860589,-1.85343505860589,-5.10966600195892,5.10966600195892,44.2060956359547
122,-1.65477846459535,1.65477846459535,0.349398966805977,-0.153673820480881,-0.195725146325096,0.394750204241676,-1.14450800979541,0.749757805553728,1.16893363139752,-1.16893363139752,-5.64303547988491,5.64303547988491,40.2544197305735
123,-1.83601743234442,1.83601743234442,1.79932897491904,-2.89074913588989,1.09142016097085,1.4945725224721,-1.38469351824955,-0.109879004222544,1.51280045880565,-1.51280045880565,-5.46113737482934,5.46113737482934,42.4297388772299
124,-1.4373092529005,1.4373092529005,0.44593346319073,-0.806340419661636,0.360406956470906,1.48647993749085,-1.58963877814522,0.103158840654369,1.39875727332279,-1.39875727332279,-5.78420862192152,5.78420862192152,39.3970634527815
125,-1.94785838861488,1.94785838861488,2.02919542031416,-1.9486390265106,-0.0805563938035576,2.05501199877412,-2.53502925327138,0.480017254497263,1.22950831571544,-1.22950831571544,-7.67576305018944,7.67576305018944,24.1964944630343
126,-2.12598096913785,2.12598096913785,3.34413877192883,-4.01208333505116,0.667944563122336,1.18341114230284,-0.968683077014085,-0.214728065288752,0.542356909777446,-0.542356909777446,-7.33179003809721,7.33179003809721,27.9683899335185
127,-1.92493905325335,1.92493905325335,2.30514604166671,-2.903370897331,0.598224855664278,1.43074286124749,-1.45519178879827,0.0244489275507752,0.875052987269523,-0.875052987269523,-5.92518747484599,5.92518747484599,38.3922416596216
128,-1.62583716915267,1.62583716915267,3.28213100146282,-3.56036358643197,0.278232584969155,1.80901147270872,-1.57581238058376,-0.233199092124959,1.19029663470201,-1.19029663470201,-6.09235609175416,6.09235609175416,37.4720546408183
130,-2.0602673802087,2.0602673802087,1.52320530327063,-2.49514670906796,0.971941405797329,1.6618379803419,-1.4495323480892,-0.212305632252698,0.883458522959379,-0.883458522959379,-5.81828212872318,5.81828212872318,39.227778127358
131,-1.17950582091298,1.17950582091298,2.58893295007567,-2.73538485309547,0.146451903019809,2.25181369879809,-1.96293466771379,-0.28887903108429,1.1404769332896,-1.1404769332896,-5.44501145819228,5.44501145819228,43.3365682993947
132,-1.14691586345148,1.14691586345148,3.26062537006355,-3.9416628507381,0.681037480674559,1.80782193327161,-1.40706798506394,-0.400753948207666,0.938425221897505,-0.938425221897505,-6.57223222014078,6.57223222014078,33.6320578261645
133,-1.88074432161491,1.88074432161491,1.33413226610597,-2.33631118336873,1.00217891726276,1.08844883237498,-1.13254636321238,0.0440975308374079,0.982058979200954,-0.982058979200954,-5.5306603185774,5.5306603185774,42.6692165184119
135,-1.6400544325145,1.6400544325145,2.94203503824046,-3.92753608113451,0.985501042894041,1.47128629365856,-1.36230998113015,-0.108976312528418,1.02724854639208,-1.02724854639208,-5.9731744424163,5.9731744424163,38.0744312108638
